wallet,name,unrealizedPnl,realizedProfit,totalProfit,balanceUsd,position,buyAmount,buyPrice,sellAmount,sellPrice,totalBuyTxn,totalSellTxn
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,Chillgirl28d,Sell All,-$163.39-5.3%,-$163.39-5.3%,$00,0%,"3,068.54",0.0044,"2,905.15",0.0041,1,1
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,DNA28d,Sell All,"-$3,422.45-53%","-$3,422.45-53%",$00,0%,"6,452.9",0.0₉1993,"3,030.46",0.0₁₀936,1,2
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,GNOME30d,Sell All,-$14.2K-47.8%,-$14.2K-47.8%,$00,0%,29.8K,0.0009,15.5K,0.0004,4,3
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,BITCOIN30d,$00%,HODL,$00%,$0.006696,100%,0,0,0,0,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,SAFEMOON30d,Sell All,"-$5,056.23-12.2%","-$5,056.23-12.2%",$00,0%,41.5K,0.0006,36.4K,0.0005,6,5
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,WAIT30d,Sell All,-$24.3K-47.6%,-$24.3K-47.6%,$00,0%,51.1K,0.0061,26.8K,0.0032,14,10
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,.DOGE30d,$00%,HODL,$00%,"$05,389.63",100%,0,0,0,0,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,UPDOG31d,$00%,HODL,$00%,"$1.061,000",100%,0,0,0,0,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,MOTHER31d,Sell All,"+$7,427.79+7.7%","+$7,427.79+7.7%",$00,0%,143.5K,0.056,103.9K,0.0561,10,29
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,CHILLRICH32d,Sell All,"-$3,722.05-76.3%","-$3,722.05-76.3%",$00,0%,"4,879.77",0.0004,"1,157.72",0.0001,3,1
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,BTW36d,Sell All,"+$4,931.57+40.2%","+$4,931.57+40.2%",$00,0%,12.3K,0.0052,17.2K,0.0074,3,3
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,Ban36d,Sell All,-$998.04-2.3%,-$998.04-2.3%,$00,0%,58.6K,0.3112,42K,0.3037,9,9
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,BAYC36d,Sell All,-$199.58-1.1%,-$199.58-1.1%,$00,0%,18.3K,0.0029,18.1K,0.0028,6,3
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,DOGE41d,Sell All,"+$1,896.74+9.1%","+$1,896.74+9.1%",$00,0%,20.9K,2.1214,22.8K,2.3139,4,2
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,Pnut 43d,Sell All,+$55.7K+673.8%,+$55.7K+673.9%,$0.5290.709,0%,"8,259.72",0.0475,63.9K,0.3682,1,1
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,PEPE44d,$00%,HODL,$00%,$0.06696.69,100%,0,0,0,0,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,LUCE53d,Sell All,"-$1,005.17-4.6%","-$1,005.17-4.6%",$00,0%,21.9K,0.0609,20.9K,0.0581,6,4
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,LAPUPU54d,$00%,HODL,$00%,$0.488500,100%,0,0,0,0,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,MOODENG55d,Sell All,"+$1,118.59+41.6%","+$1,118.59+41.6%",$00,0%,"4,057.88",0.1834,"3,808.49",0.2378,2,1
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,PEEP56d,$00%,HODL,$00%,"$0.29550,000",100%,0,0,0,0,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,BILLY58d,Sell All,+$205.83+2.8%,+$205.83+2.8%,$00,0%,"7,482.89",0.031,"7,688.72",0.0318,5,4
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,CATCOIN60d,Sell All,$00%,$00%,$00.723,100%,0,0,134.68,0.0₄298,0,1
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,ANT61d,Sell All,$00%,$00%,$00,100%,0,0,"1,104.68",0.0052,0,2
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,NoHat61d,Sell All,+$450.25+1.4%,+$450.25+1.4%,$00.283,0%,32.1K,0.0028,32.6K,0.0029,4,1
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,DOGGY72d,Sell All,-$10.1-18.9%,-$10.1-18.9%,$00,0%,53.47,0.0002,43.38,0.0002,1,1
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,Doddy74d,Sell All,-$220.47-79.9%,-$220.47-79.9%,$00,0%,275.81,0.0002,55.35,0.0₄4095,1,1
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,DIDDY74d,Sell All,-$502.29-15%,-$502.29-15%,$00,0%,"3,342.05",0.0008,"2,839.75",0.0007,4,3
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,DOLLAR75d,Sell All,"+$1,892.64+25.6%","+$1,892.64+25.6%",$00,0%,"7,383.17",0.0008,"9,275.81",0.001,4,4
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,DRUMP119d,$00%,+$268.06+16.5%,+$268.06+16.5%,$00,0%,"1,624.34",0.0022,"1,892.41",0.0025,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,WBILLY135d,$00%,-$114.8-95.9%,-$114.8-95.9%,$00,0%,119.73,0.0001,4.92,0.0₅4547,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,SBF140d,$00%,-$348.91-74.5%,-$348.91-74.5%,$00,0%,468.64,0.0₄7493,119.73,0.0₄1914,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,LOAFCAT142d,$00%,-$14.79-1.7%,-$14.79-1.7%,$00,0%,892.13,0.0₄355,877.34,0.0₄3491,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,HUNG142d,-$552.79-100%,HODL,-$552.79-100%,"$055,353.16",100%,552.79,0.0099,0,0,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,GAY145d,$00%,"+$8,039.63+92.6%","+$8,039.63+92.6%",$00,0%,"8,683.14",0.002,16.7K,0.0039,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,STRAIGHT146d,$00%,-$20.68-3%,-$20.68-3%,$00,0%,700.1,0.0004,679.42,0.0004,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,FLOCKA146d,$00%,"-$8,149.05-50.2%","-$8,149.05-50.2%",$00,0%,16.2K,0.0011,"8,078.58",0.0005,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,PICKLE196d,$00%,+$50.86+10.4%,+$50.86+10.4%,$00,0%,486.92,0.0024,537.78,0.0026,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,SOLLY196d,$00%,+$1.02+0.9%,+$1.02+0.9%,$00,0%,116.54,0.0817,117.57,0.0824,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,NIGI202d,$00%,-$303.93-2%,-$303.93-2%,$00,0%,15.1K,0.0013,14.8K,0.0012,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,SwapFast203d,$00%,+$74.25+16.2%,+$74.25+16.2%,$00,0%,458.53,0.0833,532.78,0.0967,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,SHIB206d,$00%,+$533.32+19.2%,+$533.32+19.2%,$00,0%,"2,770.65",0.0006,"3,303.97",0.0007,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,SOCKS206d,$00%,+$78.8+11.6%,+$78.8+11.6%,"$0.3713,400",0.14%,680.07,0.0002,758.87,0.0003,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,JEETS207d,$00%,-$0.028-0.4%,-$0.028-0.4%,$00,0%,7.21,0.0₄4049,7.18,0.0₄4033,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,MAGAMEME207d,$00%,-$17.52-48.7%,-$17.52-48.7%,$00,0%,35.99,0.0₄4205,18.47,0.0₄2158,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,TRUMPY207d,+$0+18.5%,+$1.04+4.7%,+$1.04+4.7%,$00.127,0%,22.01,0.0₅1196,23.05,0.0₅1253,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,JJ207d,$00%,-$69.62-76%,-$69.62-76%,$00,0%,91.63,0.0₄4747,22.01,0.0₄114,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,DON207d,$00%,-$171.21-44.3%,-$171.21-44.3%,$00,0%,386.52,0.0001,215.31,0.0₄5783,0,0
12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,No assets held.,,,,,,--,--,--,--,--,--
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,GGL21h,$00%,HODL,$00%,$0.00410,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,ROWDY3d,$00%,HODL,$00%,"$0.1171,000",100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,🐧🐧3d,$00%,HODL,$00%,"$1.821,000",100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,DGEN4d,$00%,HODL,$00%,$0.021100,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,FLOCKY6d,$00%,HODL,$00%,$0.01200,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,SNAKE20257d,$00%,HODL,$00%,"$0.1952,025",100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,PENGU7d,$00%,HODL,$00%,$0.2246,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,SCHIZO11d,+$804.18+35.6%,HODL,+$804.18+35.6%,"$3,063.78488.4K",100%,"2,259.6",0.0046,0,0,1,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,LGTB13d,$00%,HODL,$00%,"$54,414",100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,RCL14d,$00%,$00%,$00%,$00,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,RCL14d,$00%,$00%,$00%,$00,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,RCL14d,$00%,$00%,$00%,$00,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,RCL14d,$00%,$00%,$00%,$00,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,RCL14d,$00%,$00%,$00%,$00,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,RCL14d,$00%,$00%,$00%,$00,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,RCL14d,$00%,$00%,$00%,$00,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,ME14d,$00%,HODL,$00%,"$8,568.222,472.28",100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,SAIKA18d,-$65.5-94%,HODL,-$65.5-94%,$4.21153.9K,100%,69.71,0.0004,0,0,1,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,SOLARIS18d,-$24.41-2.1%,-$119.45-4.7%,-$143.86-3.9%,"$1,115.83203.3K",39.1%,"3,692.46",0.007,"2,432.77",0.0076,4,3
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,M3M320d,$00%,$00%,$00%,$00,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,KOREA21d,Sell All,-$51.36-47.5%,-$51.36-47.5%,$00,0%,108.08,0.0001,56.72,0.0001,1,1
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,KOL22d,$00%,HODL,$00%,$0.2090.25,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,HoHoHo23d,$00%,HODL,$00%,"$01,000",100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,AIKO23d,Sell All,-$600.29-10.1%,-$600.29-10.1%,$00,0%,"5,915.75",0.0035,"5,315.46",0.0032,1,1
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,$123d,Sell All,"-$6,863.57-28%","-$6,863.57-28%",$00,0%,24.5K,0.0156,17.6K,0.0112,6,4
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,ZEREBRO24d,Sell All,+$334.61+3.4%,+$334.61+3.4%,$00,0%,"8,999.28",0.3519,10.3K,0.3648,2,3
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,LOLA25d,"-$2,624.42-97.9%","+$5,170.39+31%","+$2,545.96+13.2%","$56.8370,124.17",3.6%,19.4K,0.0099,21.8K,0.0116,5,3
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,UBC25d,Sell All,"-$4,425.84-43.1%","-$4,425.84-43.1%",$00,0%,10.3K,0.0656,"5,852.97",0.0373,4,5
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,AIXBT25d,Sell All,+$492.04+8.7%,+$492.04+8.7%,$00.002,0%,15.7K,0.1002,"6,170",0.0903,5,1
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,1DOGE27d,$00%,HODL,$00%,$0.001300,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,UBC28d,$00%,HODL,$00%,$21.97999,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,KACY28d,Sell All,-$318.09-2.9%,-$318.09-2.9%,$00,0%,"9,656.36",0.0273,10.8K,0.0265,7,5
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,VICTIM28d,$00%,HODL,$00%,"$0.0111,000",100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,Fuck Mark29d,-$236.94-95.2%,HODL,-$236.94-95.2%,$11.851.4M,100%,248.79,0.0001,0,0,1,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,Eva29d,-$271.33-97.6%,HODL,-$271.33-97.6%,$6.66372.5K,100%,277.99,0.0007,0,0,2,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,AVA30d,"-$1,003.09-80.1%",HODL,"-$1,003.09-80.1%","$249.4913,733.94",100%,"1,252.58",0.0912,0,0,2,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,LIVE31d,Sell All,-$141.7-55.4%,-$141.7-55.4%,$00,0%,255.81,0.0152,114.11,0.0068,1,1
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,AETHER AI31d,Sell All,-$168.32-71.4%,-$168.32-71.4%,$00,0%,236.33,0.0009,67.54,0.0002,1,1
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,Cheyenne31d,Sell All,+$128.51+54.2%,+$128.51+54.2%,$00,0%,236.92,0.0145,365.43,0.0224,1,1
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,dontdie31d,Sell All,-$717.45-63.8%,-$717.45-63.8%,$00,0%,"1,125.32",0.0169,407.87,0.0061,1,1
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,SCREWY31d,Sell All,"-$2,303.5-95.7%","-$2,303.5-95.7%",$00,0%,"2,408.03",0.0₄834,104.53,0.0₅362,2,1
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,TORI31d,Sell All,+$5.55+4.7%,+$5.55+4.7%,$00,0%,116.91,0.0036,122.45,0.0038,1,1
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,AVB31d,Sell All,-$405.74-12.8%,-$405.74-12.8%,$00,0%,"3,167.64",0.0499,"2,761.9",0.0435,1,1
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,nub31d,Sell All,-$236.89-16.8%,-$236.89-16.8%,$00,0%,"1,411.3",0.0295,"1,174.41",0.0245,0,3
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,CHILLGUY31d,Sell All,-$994.18-14.1%,-$994.18-14.1%,$00,0%,20.1K,0.3214,"6,052.5",0.276,4,3
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,GIGO31d,$00%,HODL,$00%,$0.005750,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,Flower31d,Sell All,-$166.57-14.2%,-$166.57-14.2%,$00,0%,"1,169.62",0.0301,"1,003.05",0.0258,2,1
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,CATGF32d,Sell All,"-$1,371.64-53.3%","-$1,371.64-53.3%",$00,0%,"2,573.28",0.0061,"1,201.64",0.0028,2,1
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,BATMEW33d,$00%,HODL,$00%,$0.011777,100%,0,0,0,0,0,0
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,YAKUB33d,Sell All,-$747.67-33%,-$747.67-33%,$00,0%,"1,305.66",0.0104,"2,773.22",0.0055,1,3
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,SCHIZO11d,+$804.18+35.6%,+$804.18+35.6%,"$3,063.78488.4K",100%,"$2,259.6$0.0046",0,0,--,--,Share,--
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,LGTB13d,$00%,$00%,"$54,414",100%,$0$0,0,0,--,--,Share,--
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,ME14d,$00%,$00%,"$8,568.222,472.28",100%,$0$0,0,0,--,--,Share,--
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,SOLARIS18d,-$24.41-2.1%,-$143.86-3.9%,"$1,115.83203.3K",39.1%,"$3,692.46$0.007","2,432.77",0.0076,--,--,Share,--
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,LOLA25d,"-$2,624.42-97.9%","+$2,545.96+13.2%","$56.8370,124.17",3.6%,$19.4K$0.0099,21.8K,0.0116,--,--,Share,--
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,UBC28d,$00%,$00%,$21.97999,100%,$0$0,0,0,--,--,Share,--
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,Fuck Mark29d,-$236.94-95.2%,-$236.94-95.2%,$11.851.4M,100%,$248.79$0.0001,0,0,--,--,Share,--
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,Eva29d,-$271.33-97.6%,-$271.33-97.6%,$6.66372.5K,100%,$277.99$0.0007,0,0,--,--,Share,--
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,AVA30d,"-$1,003.09-80.1%","-$1,003.09-80.1%","$249.4913,733.94",100%,"$1,252.58$0.0912",0,0,--,--,Share,--
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,FLOPCOIN34d,-$16.79-71%,-$16.79-71%,$6.871M,100%,$23.66$0.0₄2328,0,0,--,--,Share,--
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,ELIZA35d,$00%,$00%,$18.47999,100%,$0$0,0,0,--,--,Share,--
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,RIF36d,$00%,$00%,"$134.852,997",100%,$0$0,0,0,--,--,Share,--
12wyPStxxZeSRVak7L3AqnJ92Zc72HQ9cLJo7Km59ZvJ,miharu74d,-$258.34-90.4%,-$258.34-90.4%,"$27.3319,317.75",100%,$285.67$0.0147,0,0,--,--,Share,--
